index,Release_Week,Region,Week,Sites_Reporting,Total_Patient_Visits,Total_ILI,Perc_Unweighted_ILI,Perc_Weighted_ILI
528,1149,Region 4,201144,339,132566,1998,1.507,1.553
529,1149,Region 4,201145,357,139267,2200,1.58,1.566
530,1149,Region 4,201146,339,131791,1989,1.509,1.467
531,1149,Region 4,201147,349,108802,1900,1.746,1.73
532,1149,Region 4,201148,328,130223,1822,1.399,1.356
533,1149,Region 4,201149,260,77392,1167,1.508,1.286
534,1149,Region 5,201140,266,96735,1106,1.143,0.929
535,1149,Region 5,201141,267,97794,1080,1.104,0.931
536,1149,Region 5,201142,270,94307,1062,1.126,1.028
537,1149,Region 5,201143,268,95385,1039,1.089,0.979
538,1149,Region 5,201144,274,96060,1155,1.202,1.07
539,1149,Region 5,201145,271,93471,1117,1.195,1.107
540,1149,Region 5,201146,262,91031,1071,1.177,1.01
541,1149,Region 5,201147,262,69668,1005,1.443,1.225
542,1149,Region 5,201148,245,82696,844,1.021,0.93
543,1149,Region 5,201149,200,64984,748,1.151,1.051
544,1149,Region 6,201140,152,67126,1339,1.995,1.881
545,1149,Region 6,201141,151,65948,1194,1.811,1.683
546,1149,Region 6,201142,158,66732,1357,2.034,1.957
547,1149,Region 6,201143,148,67331,1365,2.027,1.9
548,1149,Region 6,201144,158,70611,1457,2.063,1.907
549,1149,Region 6,201145,148,66937,1380,2.062,2.018
550,1149,Region 6,201146,148,68750,1614,2.348,2.264
551,1149,Region 6,201147,145,53477,1270,2.375,2.172
552,1149,Region 6,201148,134,61327,1477,2.408,2.31
553,1149,Region 6,201149,120,50787,961,1.892,1.687
554,1149,Region 7,201140,95,24805,223,0.899,0.903
555,1149,Region 7,201141,98,25313,211,0.834,0.858
556,1149,Region 7,201142,98,24686,184,0.745,0.765
557,1149,Region 7,201143,101,28155,280,0.994,0.987
558,1149,Region 7,201144,102,27448,304,1.108,1.181
559,1149,Region 7,201145,101,27875,253,0.908,0.939
560,1149,Region 7,201146,98,27252,219,0.804,0.851
561,1149,Region 7,201147,99,18644,164,0.88,0.876
562,1149,Region 7,201148,93,24534,157,0.64,0.712
563,1149,Region 7,201149,74,18892,133,0.704,0.664
564,1149,Region 8,201140,108,47891,499,1.042,1.041
565,1149,Region 8,201141,121,52629,523,0.994,0.869
566,1149,Region 8,201142,124,53405,523,0.979,0.873
567,1149,Region 8,201143,122,52675,535,1.016,0.915
568,1149,Region 8,201144,122,50562,593,1.173,0.998
569,1149,Region 8,201145,121,50883,595,1.169,1.0
570,1149,Region 8,201146,119,51232,591,1.154,1.048
571,1149,Region 8,201147,121,41542,557,1.341,1.093
572,1149,Region 8,201148,116,49051,535,1.091,0.987
